age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
22,M,775,En Couple,2,false,3646 ZS 77
72,M,190,En Couple,0,true,1287 BF 72
19,M,199,En Couple,2,true,8928 CU 61
22,M,186,En Couple,0,false,4679 LG 28
51,M,554,En Couple,2,false,5521 KI 53
21,F,420,Célibataire,0,false,3754 RE 26
36,M,193,En Couple,2,false,9177 TN 44
23,M,796,En Couple,4,false,9503 EI 53
58,M,414,En Couple,2,false,3133 LA 24
24,F,572,En Couple,3,true,3759 FJ 21
24,F,504,En Couple,0,true,2488 WA 34
21,M,595,En Couple,1,false,315 MM 87
36,F,440,En Couple,0,false,6627 ZW 61
48,M,435,En Couple,2,false,1776 NV 28
52,M,1221,Seule,1,false,4846 FV 80
41,F,229,En Couple,2,false,3732 TZ 53
50,M,475,En Couple,2,false,5078 BY 16
26,M,529,En Couple,1,false,4664 LW 72
45,F,1281,En Couple,4,false,4751 SX 53
53,M,405,Célibataire,0,false,8501 ET 43
50,F,450,En Couple,3,false,3353 LF 92
35,M,160,Célibataire,0,false,8945 GO 90
26,M,1099,En Couple,3,false,1613 MD 31
34,M,1269,En Couple,0,false,5209 BH 74
43,M,424,Célibataire,0,false,4895 KQ 71
74,M,758,Célibataire,0,false,5894 QD 37
45,M,401,En Couple,3,false,6731 WF 52
42,F,193,Célibataire,0,false,6330 HV 53
40,M,223,Célibataire,0,false,6345 RD 36
32,M,544,En Couple,3,false,4753 TR 40
49,Féminin,231,Célibataire,0,false,5578 VA 36
47,M,579,En Couple,1,false,4418 LX 24
25,M,1383,En Couple,4,false,6810 MC 54
19,M,529,En Couple,0,false,8478 CG 55
55,F,916,Célibataire,0,false,1486 ZC 59
70,F,581,En Couple,3,false,8493 QF 49
69,M,174,Célibataire,0,false,9509 ZO 74
56,M,577,En Couple,0,false,965 DR 85
57,F,865,En Couple,2,false,1273 RI 28
52,M,463,Célibataire,0,false,6612 WO 76
23,M,474,En Couple,2,false,4333 RY 25
25,M,512,Marié(e),1,false,1875 IT 96
49,M,1100,En Couple,4,false,2029 VB 66
76,M,550,Célibataire,0,false,5315 EJ 15
28,M,168,En Couple,-1,false,6035 SA 65
31,M,166,En Couple,0,false,65 GJ 76
43,M,533,En Couple,2,false,6718 CX 35
21,F,220,En Couple,2,false,3171 YF 65
49,M,530,Célibataire,0,false,3946 TY 78
45,M,1273,Célibataire,0,false,4265 YZ 87
48,M,525,Célibataire,0,false,6221 YE 74
33,F,1118,En Couple,1,false,8239 CS 86
29,M,593,En Couple,1,true,9749 JJ 49
20,M,583,En Couple,2,false,3847 ZR 24
54,M,473,Célibataire, ,false,2604 WN 69
56,M,1380,Célibataire,0,false,2961 AO 57
58,M,211,En Couple,0,false,3862 ER 86
51,F,417,Célibataire,0,false,1189 NP 34
44,M,403,Célibataire,0,false,3056 UI 57
20,M,1365,En Couple,0,true,821 GZ 12
34,F,151,En Couple,3,true,4080 CK 43
36,M,568,En Couple,0,true,5614 VX 93
57,M,783,Célibataire,0,false,6617 VX 22
60,M,526,En Couple,4,false,2949 FB 48
31,M,968,En Couple,1,false,8837 BN 47
78,M,720,En Couple,4,false,2347 VW 28
25,M,548,Célibataire,0,false,9467 TH 68
62,M,195,En Couple,0,false,4346 FZ 90
24,M,416,En Couple,0,true,6232 BU 73
65,M,493,En Couple,2,false,8983 WO 54
18,M,412,En Couple,1,true,935 SP 90
18,M,720,Célibataire,0,false,688 NB 43
28,M,403,Célibataire,0,false,8155 YH 44
59,M,476,En Couple,2,true,1341 UK 25
56,M,226,En Couple,0,true,2289 EY 32
70,M,582,En Couple,4,true,833 WY 13
37,F,411,Célibataire,0,false,2737 KF 97
29,M,837,Célibataire,0,false,4776 XM 63
39,M,543,En Couple,4,false,1356 IK 71
55,M,409,En Couple,1,true,6888 FY 91
63,F,1188,En Couple,3,false,6972 TH 95
77,M,562,Célibataire,0,false,8994 OW 21
24,M,500,Célibataire,0,false,6152 CN 22
55,M,182,En Couple,0,true,9727 XA 26
84,F,525,En Couple,1,false,1983 HG 35
24,F,739,Célibataire,0,false,4516 JN 69
21,M,1384,En Couple,4,false,2170 GV 77
60,M,184,Célibataire,0,false,4448 QY 62
26,M,1398,En Couple,0,false,9068 FJ 63
24,F,778,En Couple,3,false,9595 YY 88
49,M,1039,En Couple,2,false,9235 LR 85
30,F,440,Célibataire,0,false,8327 VR 16
20,F,200,Célibataire,0,false,822 NW 33
19,M,577,En Couple,4,false,8480 YS 37
60,M,567,Célibataire,?,false,4550 MU 72
38,Homme,249,Célibataire,0,false,6621 AA 61
33,F,1399,Célibataire,0,false,9183 EW 82
62,M,510,Célibataire,0,false,6270 RZ 31
21,M,456,Célibataire,0,false,2245 PF 12
24,M,213,En Couple,0,false,494 TB 69
25,M,553,En Couple,1,false,5449 TH 56
19,M,156,Célibataire,0,false,9295 BY 51
20,M,457,Célibataire,0,false,1636 CW 77
71,M,481,Célibataire,0,false,6242 AM 52
33,M,530,Célibataire,0,false,5128 BI 55
38,F,554,En Couple,2,true,9151 YX 41
25,F,239,En Couple,3,true,4324 QR 95
47,M,515,En Couple,1,false,8150 QP 14
41,M,171,En Couple,2,true,3662 VQ 44
47,F,439,En Couple,2,false,8326 NL 31
34,F,1099,Célibataire,0,false,7944 UO 87
37,M,185,En Couple,2,false,1380 BF 19
40,M,895,Célibataire,0,false,5709 UM 37
56,M,207,En Couple,4,false,2784 PB 73
22,M,537,En Couple,-1,true,3106 UH 12
46,M,535,En Couple,1,false,7414 CM 10
41,M,559,Célibataire,0,false,439 QR 43
30,M,1244,Célibataire,0,false,6792 XG 31
39,F,1139,Célibataire,0,false,9254 HU 47
44,F,408,En Couple,2,false,4630 JM 96
19,F,163,En Couple,0,true,1120 ZT 54
49,M,781,En Couple,1,false,7176 WL 45
19,M,992,Célibataire,0,false,9013 OT 63
51,F,592,En Couple,2,false,4815 RB 12
26,M,535,En Couple,4,false,4906 XA 12
84,M,472,En Couple,3,false,5898 VD 30
39,M,182,En Couple,2,false,2097 LE 67
29,F,194,En Couple,2,false,844 VY 88
18,F,497,En Couple,0,false,7527 GV 38
48,M,164,En Couple,0,true,9000 GH 32
51,M,486,En Couple,0,false,2751 AX 48
40,F,1287,En Couple,0,false,6391 QB 98
48,M,173,Seule,2,false,7913 NT 29
21,M,1149,En Couple,2,false,878 IN 35
32,M,435,Célibataire,0,false,3855 QO 33
28,F,563,En Couple,3,false,5675 SE 80
20,F,460,Célibataire,0,false,4804 PD 43
19,M,426,En Couple,2,false,3750 RK 14
68,M,150,Célibataire,0,false,2453 PZ 21
47,M,489,Célibataire,0,false,3090 IP 29
37,M,552,En Couple,1,false,1001 UY 52
64,F,556,En Couple,2,false,3115 TN 71
82,F,432,En Couple,2,true,2451 LG 71
22,M,443,Célibataire,0,false,1606 HN 24
20,F,1189,Célibataire,0,false,8588 FY 84
30,M,508,Célibataire,0,false,3462 VX 79
46,M,1108,En Couple,0,false,2267 FB 67
23,M,525,En Couple,0,false,3635 ID 77
24,M,206,Célibataire,0,false,8686 GP 49
30,F,542,Célibataire,0,false,5218 GU 85
24,M,463,En Couple,2,false,3824 CV 48
22,M,1115,Célibataire,0,false,338 UU 37
19,M,428,Seule,1,false,2787 HS 77
78,M,435,En Couple,2,false,9019 OV 31
20,M,404,En Couple,2,false,2469 QE 91
39,F,240,En Couple,2,true,8430 PS 13
50,F,494,Célibataire,0,false,4828 ZW 47
66,M,460,En Couple,1,true,7961 CO 97
51,M,1378,Seule,3,false,8187 ZS 12
84,M,202,Seule,2,false,1714 NK 93
22,M,1268,En Couple,0,false,8973 XP 31
35,M,1012,Célibataire,0,false,5337 OV 32
52,M,217,Célibataire,0,false,7255 TB 75
29,M,494,En Couple,3,false,7016 NI 80
60,F,524,En Couple,2,false,5159 IN 71
21,M,200,Célibataire,0,false,4516 OY 87
45,F,1303,Seule,1,false,4057 FL 68
43,M,500,En Couple,0,false,9946 QC 50
18,M,459,En Couple,3,false,8254 HN 30
50,F,460,En Couple,2,false,2068 FN 88
29,F,588,En Couple,1,false,4052 MO 73
80,M,588,En Couple,2,true,340 PL 97
21,M,477,En Couple,0,false,8355 WY 43
21,M,465,En Couple,4,false,6662 EJ 53
20,M,400,En Couple,2,false,6476 ST 20
28,M,430,En Couple,0,true,7199 EL 97
77,F,449,En Couple,0,false,8954 NE 56
45,F,511,En Couple,1,false,7057 BN 57
29,M,164,En Couple,0,false,2530 ZW 14
47,F,402,En Couple,0,false,4823 IU 17
68,M,153,En Couple,0,false,1380 WB 81
26,M,172,En Couple,1,false,6547 NU 83
83,M,787,En Couple,4,false,313 GL 51
45,M,714,Seule,1,false,6356 NO 47
58,M,561,En Couple,4,false,5012 LT 81
58,M,598,En Couple,1,true,4500 SO 64
62,M,1278,Seule,3,false,9460 UY 67
73,F,242,Célibataire,0,false,2867 WB 86
76,F,205,En Couple,0,false,4446 SE 24
81,F,924,En Couple,3,false,287 IR 60
48,M,192,En Couple,1,false,452 CV 23
58,M,457,Célibataire,0,false,2094 TP 64
33,F,957,Célibataire,0,false,5730 YP 86
39,F,1054,Seule,3,false,448 EF 12
36,Homme,472,En Couple,4,false,4221 VK 96
52,F,228,Célibataire,0,false,7183 YU 54
51,M,593,Seule,2,false,4708 VJ 27
21,F,874,En Couple,2,false,7120 VM 25
66,M,521,En Couple,3,false,8001 CQ 98
34,M,546,En Couple,2,true,9248 JY 68
29,M,1282,En Couple,3,false,5159 YE 34
27,M,198,En Couple,1,true,3833 HB 32
69,M,588,En Couple,1,false,2994 LR 56
25,M,1343,En Couple,1,false,2365 BE 75
65,M,523,Seule,2,false,8636 OQ 27
47,M,565,En Couple,1,false,7815 FM 60
54,M,467,Célibataire,0,false,7044 GU 10
50,M,229,En Couple,2,false,2191 CA 82
72,M,200,Célibataire,0,false,6614 AP 59
34,M,882,Célibataire,0,false,2132 VO 94
56,M,470,En Couple,0,false,4408 NT 64
27,M,190,En Couple,4,false,9345 ZO 57
38,M,1276,En Couple,0,true,7704 VU 93
73,M,488,En Couple,0,false,1226 XW 55
69,M,1025,En Couple,4,false,6464 AX 22
24,M,533,Célibataire,0,false,8925 NH 77
18,F,456,Célibataire,0,false,2244 YF 79
29,M,764,En Couple,2,false,5252 OJ 73
67,M,833,En Couple,4,true,4817 BK 91
80,M,1169,Célibataire,0,false,2639 ZR 16
45,F,?,En Couple,0,true,9117 IL 35
24,M,241,En Couple,3,true,3740 TT 42
30,M,178,Célibataire,0,false,7723 DC 21
78,M,509,En Couple,0,false,4177 FA 26
70,M,553,En Couple,2,false,3126 OY 27
41,F,559,En Couple,3,false,541 XM 18
54,M,484,En Couple,4,true,4098 RE 69
43,M,213,En Couple,2,false,8572 YA 83
75,M,1275,En Couple,1,true,6207 XK 27
26,M,159,En Couple,2,false,3346 SK 24
23,M,414,Célibataire,0,false,7832 RR 48
27,M,762,Seul,0,false,972 CA 36
29,M,452,Célibataire,0,false,5358 NZ 12
33,F,225,Célibataire,0,false,3188 XA 78
80,M,484,Célibataire,0,false,6607 DQ 60
44,F,489,Célibataire,0,false,4540 AO 14
21,F,591,En Couple,3,false,2099 GF 42
34,M,445,En Couple,2,false,3775 ZT 30
67,M,566,Célibataire,0,false,5450 KH 88
62,M,531,En Couple,3,false,6628 AJ 68
75,M,596,En Couple,0,true,4929 CK 49
28,M,435,En Couple,4,false,6797 EH 72
36,M,231,En Couple,3,false,2524 NG 60
55,M,817,En Couple,1,true,4657 EY 76
58,M,1147,En Couple,3,true,3867 OL 78
62,F,547,En Couple,2,false,9607 CM 96
82,M,450,Célibataire,0,false,2182 XM 18
25,M,426,Célibataire,0,false,3581 OG 63
25,F,1317,En Couple,0,false,7635 QR 48
28,M,247,En Couple,2,false,8538 NU 23
50,M,434,En Couple,2,false,845 WV 69
25,M,566,En Couple,2,false,7394 BA 12
82,M,862,En Couple,2,false,1851 BQ 89
51,M,596,Seule,1,false,639 OA 59
51,M,194,En Couple,0,false,7121 MG 86
19,M,236,Célibataire,0,false,5562 IR 37
62,M,590,En Couple,0,false,4935 US 42
26,Homme,441,En Couple,2,false,7185 MU 42
18,M,160,Célibataire,0,false,5461 AD 43
49,M,473,Célibataire,0,false,2288 DF 20
83,M,446,En Couple,2,false,7577 GA 87
54,M,154,En Couple,0,false,5323 CC 30
83,M,176,Seule,3,false,8221 XD 59
54,F,559,Célibataire,0,false,383 UT 95
23,M,1286,En Couple,-1,false,1347 XR 59
19,M,226,Célibataire,0,false,2070 WU 69
52,F,579,En Couple,4,false,7354 RV 61
51,M,229,Célibataire,0,false,8657 VB 60
52,M,740,Célibataire,0,false,6952 JR 50
55,M,464,En Couple,4,false,3469 RN 13
58,M,580,En Couple,2,false,6111 TL 79
59,F,578,Célibataire,0,false,9953 GN 53
61,M,162,En Couple,2,false,8714 CN 14
84,M,525,En Couple,2,false,3980 OJ 79
32,M,1149,En Couple,1,false,9998 WR 19
41,M,1086,En Couple,2,false,3385 EJ 20
18,F,1020,En Couple,2,false,5596 AG 76
28,F,571,En Couple,0,false,5324 GD 89
62,M,199,Célibataire,0,false,2971 MR 82
51,M,164,Célibataire,0,false,2307 TG 98
19,F,429,En Couple,1,false,4591 YI 83
57,F,428,Marié(e),0,false,8871 BI 89
25,M,1005,En Couple,4,false,8055 XS 33
22,M,460,En Couple,1,false,8938 LF 97
73,M,1038,En Couple,3,false,2152 MC 55
28,M,554,Célibataire,0,false,3545 TZ 38
61,F,225,En Couple,0,false,4661 AH 71
39,M,900,Célibataire,0,false,8170 QR 27
68,Homme,1044,Célibataire,0,false,8584 MG 18
74,F,1281,En Couple,1,false,5276 TK 60
25,M,432,En Couple,4,false,2919 FW 32
56,F,241,En Couple,2,false,1291 YQ 85
59,M,526,En Couple,0,false,1153 BQ 25
31,M,197,En Couple,3,false,4266 ET 64
29,F,516,Célibataire,0,false,1568 WY 68
40,M,519,Célibataire,0,false,2232 YF 58
82,M,182,En Couple,1,false,9015 OD 84
19,M,458,En Couple,3,false,8174 HI 30
58,M,1357,Célibataire,0,false,4387 OL 85
40,F,422,Célibataire,0,false,8061 WM 95
71,F,238,En Couple,0,true,92 HV 93
42,F,182,En Couple,3,false,2818 IL 34
56,F,1103,Célibataire,0,false,7298 OM 57
46,M,439,En Couple,1,false,2612 RP 46
28,Féminin,435,En Couple,2,false,4034 OK 85
26,M,545,En Couple,0,false,8450 AD 56
37,M,220,En Couple,0,false,2703 MJ 47
68,M,551,En Couple,1,false,7638 IU 49
56,F,1247,Célibataire,0,false,6987 GH 65
57,F,599,En Couple,1,false,6902 WM 58
27,M,450,En Couple,2,false,5134 KB 88
30,M,537,Célibataire,0,false,2319 KV 89
23,F,171,Célibataire,0,false,7515 OR 96
57,M,759,En Couple,1,false,5035 UW 69
19,M,532,En Couple,0,false,2128 FH 97
 ,F,519,Célibataire,0,false,1914 CG 36
63,M,518,En Couple,4,true,3107 MO 64
23,M,179,En Couple,1,false,1465 HC 57
48,F,826,En Couple,3,false,9639 QG 45
20,M,176,En Couple,3,false,1616 KK 11
75,F,227,En Couple,0,false,3047 JA 13
20,M,582,En Couple,1,false,6413 IW 49
41,M,540,En Couple,0,true,1495 TZ 83
37,M,152,Célibataire,0,false,2012 LJ 98
51,F,511,Célibataire,0,false,8888 GW 69
29,F,993,En Couple,0,false,1152 ST 82
28,M,473,En Couple,3,false,1443 FV 83
30,M,422,En Couple,2,false,488 XQ 53
39,F,927,Célibataire,0,false,1898 SR 58
41,M,828,En Couple,1,false,2925 BZ 54
35,M,189,Célibataire,0,false,9691 FA 53
25,M,535,Célibataire,0,false,4800 II 62
26,M,595,En Couple,3,false,8654 JM 35
36,M,196,En Couple,4,false,6350 VK 20
26,M,243,En Couple,1,false,9044 KR 58
29,M,558,En Couple,1,false,4029 MI 83
58,M,249,Célibataire,0,false,4344 YE 82
68,F,1310,En Couple,4,false,190 ES 95
41,M,200,Célibataire,0,false,1759 OL 97
29,M,210,Célibataire,0,false,3339 FU 72
32,M,528,En Couple,0,false,6649 DT 35
62,M,507,Célibataire,0,false,7495 WI 69
21,F,173,?,1,false,5567 OD 81
60,M,198,Célibataire,0,false,8626 CQ 41
31,M,559,En Couple,0,false,9701 VO 84
28,M,179,Célibataire,0,false,5348 BJ 25
20,Femme,1366,En Couple,0,false,9239 AQ 86
24,F,477,En Couple,4,false,2704 JW 44
18,M,173,En Couple,1,true,1997 CX 90
53,M,559,Célibataire,0,false,2288 IS 67
66,M,168,Célibataire,0,false,6184 RZ 77
76,M,486,En Couple,2, ,7532 DB 84
21,M,449,En Couple,0,false,6884 XJ 62
26,M,528,En Couple,0,false,1460 KN 49
64,M,773,En Couple,1,false,8182 VQ 41
24,M,1026,En Couple,0,false,8675 NJ 10
19,M,493,Célibataire,0,false,5790 GF 61
24,M,562,En Couple,0,true,1980 BV 15
28,M,173,En Couple,1,false,7779 SK 95
56,F,1306,Célibataire,0,false,894 SH 68
55,F,841,Célibataire,0,false,7323 CU 63
35,M,535,En Couple,4,false,4850 OK 25
37,M,521,En Couple,2,false,3282 HI 35
34,M,975,En Couple,3,false,7465 NA 28
54,F,194,Célibataire,0,false,9807 BB 56
20,F,191,En Couple,1,false,2336 FK 59
32,M,1308,En Couple,4,true,2932 QF 48
56,F,909,En Couple,1,true,8685 OL 22
34,M,439,Célibataire,0,false,6637 XF 47
24,M,464,Célibataire,0,false,4257 FV 12
75,M,582,En Couple,0,false,7917 QA 21
43,F,408,En Couple,0,true,5477 UD 86
58,F,403,Célibataire,0,false,4790 MR 79
37,M,487,En Couple,1,true,1087 UM 28
21,M,222,En Couple,3,false,607 XI 17
73,M,596,Célibataire,0,false,3756 TZ 75
41,M,511,En Couple,1,false,4077 GR 70
66,F,562,En Couple,0,false,3749 VZ 74
25,M,151,En Couple,3,true,5724 FU 76
73,M,804,En Couple,3,false,5516 FX 20
21,M,448,Célibataire,0,false,4677 TG 51
81,M,1018,Célibataire,0,false,8989 RD 68
21,M,478,Célibataire,0,false,9400 RL 20
41,M,779,En Couple,3,false,4831 GA 83
60,M,1147,Célibataire,0,false,2496 NO 27
33,M,427,Célibataire,0,false,2979 SX 42
80,M,471,Célibataire,0,false,788 EE 60
53,M,460,Célibataire,0,false,4913 XU 72
42,M,971,Seule,1,false,1473 KY 82
21,F,852,En Couple,2,false,207 TW 75
26,M,761,Célibataire,0,false,6674 BM 42
32,M,1029,En Couple,0,false,9755 GP 82
26,M,529,Célibataire,0,false,3499 RY 28
83,F,500,En Couple,3,false,8494 TQ 59
24,M,440,En Couple,0,false,295 KG 52
22,M,546,Célibataire,0,false,4696 QT 86
46,M,1031,Célibataire,0,false,543 WM 51
70,M,184,Célibataire,0,false,9944 LN 37
51,M,592,Célibataire,0,false,4595 WV 74
64,F,217,Seule,3,false,5971 CH 27
69,M,503,Célibataire,0,false,288 GL 27
26,Masculin,477,En Couple,0,false,5914 BB 32
45,M,438,Célibataire,0,false,5818 HM 63
57,F,879,En Couple,2,false,4198 CH 21
54,M,561,En Couple,4,false,3825 ZA 45
43,F,532,En Couple,4,?,7629 NN 26
29,M,1263,En Couple,3,false,2174 QX 56
26,F,213,Célibataire,0,false,2076 IH 20
40,M,525,Célibataire,0,false,7460 GH 15
42,F,546,En Couple,3,true,5052 PL 52
59,F,501,Célibataire,0,false,9761 VG 85
44,M,598,En Couple,3,true,3999 CB 32
23,M,1076,En Couple,2,false,4428 GS 26
25,F,424,En Couple,0,false,2065 II 78
18,M,1308,Seule,1,false,2454 PB 25
23,M,189,En Couple,1,false,5785 EI 22
49,M,912,En Couple,1,false,3211 OS 66
21,M,546,En Couple,0,false,4135 TT 81
44,F,570,Célibataire,0,false,2320 XX 57
37,M,1285,Célibataire,0,false,3493 YT 98
26,M,1118,En Couple,1,false,900 PK 35
34,M,1089,En Couple,2,false,2952 FZ 11
25,M,575,Seule,3,false,9232 ZF 33
27,M,719,Célibataire,0,false,142 CZ 33
48,M,477,Célibataire,0,false,4713 QS 49
57,M,522,En Couple,2,false,4144 GQ 31
21,M,871,En Couple,3,false,9834 RA 79
38,F,485,En Couple,2,false,7615 II 59
39,M,240,Célibataire,0,false,5580 KG 88
24,M,573,En Couple,0,false,8023 OS 14
43,M,473,En Couple,1,true,6208 UK 75
36,M,427,Célibataire,0,false,5328 BR 91
51,F,237,Seule,3,false,5905 YV 15
71,F,1047,En Couple,1,false,6842 FB 46
23,F,710,Célibataire,0,false,133 VL 17
56,M,519,En Couple,1,false,62 SP 45
59,F,223,En Couple,0,false,9114 SJ 72
27,F,1338,En Couple,1,?,6546 QZ 48
33,M,170,En Couple,1,false,3914 KR 32
45,M,182,Célibataire,0,false,8707 JF 74
79,F,564,En Couple,0,false,8585 RZ 51
36,M,210,En Couple,3,true,217 UT 14
76,F,1140,En Couple,1,false,2915 LB 77
43,M,448,En Couple,4,false,9208 AF 24
24,M,489,En Couple,1,false,801 QL 90
38,M,1114,En Couple,2,false,8443 KT 62
20,M,163,Célibataire,0,false,3538 RC 81
18,M,499,En Couple,3,false,4937 OB 24
40,M,599,Célibataire,0,false,8484 HM 60
40,M,227,Célibataire,0,false,5730 QE 83
18,M,184,En Couple,0,false,7946 VM 46
26,M,576,Célibataire,0,false,640 CP 55
28,F,932,En Couple,0,false,8628 RH 74
79,F,1083,En Couple,4,false,728 CY 17
40,F,406,En Couple,2,false,7708 CO 23
37,M,165,En Couple,0,false,8920 XO 82
